JobID	JobTitle	CompanyName	Location	JobURL	RobotCode	CreatedAt	NormalizedJob	City	Country	Region	GeoID
9816	Client Services Specialist	Investec India	Zurich, Zurich, Switzerland (Hybrid)	https://www.linkedin.com/jobs/view/4247380033/	0	2025-06-13 00:45:51.813	Specialist	Zurich	Switzerland	Europe	102436504
9817	Accounting Specialist – AI Trainer	Invisible Expert Marketplace	EMEA (Remote)	https://www.linkedin.com/jobs/view/4238978279/	0	2025-06-13 00:45:51.820	Specialist	Zurich	Switzerland	Europe	102436504
9818	Compliance QA Specialist	Experis Switzerland	Zurich, Zurich, Switzerland (On-site)	https://www.linkedin.com/jobs/view/4242842514/	0	2025-06-13 00:45:51.827	Specialist	Zurich	Switzerland	Europe	102436504
9819	Flexcube Specialist	Coltech	EMEA (Remote)	https://www.linkedin.com/jobs/view/4236698541/	0	2025-06-13 00:45:51.837	Specialist	Zurich	Switzerland	Europe	102436504
9820	Croatian Freelance Translation and Transcreation Language Specialist (EMEA & NASA Regions) with verification	RWS Group	EMEA (Remote)	https://www.linkedin.com/jobs/view/4234888667/	0	2025-06-13 00:45:51.843	Specialist	Zurich	Switzerland	Europe	102436504
9821	HR Experience Specialist with verification	Deel	EMEA (Remote)	https://www.linkedin.com/jobs/view/4248124526/	0	2025-06-13 00:45:51.853	Specialist	Zurich	Switzerland	Europe	102436504
9822	Crypto Event Specialist (Relocation to Dubai)	Legend Digital	EMEA (Remote)	https://www.linkedin.com/jobs/view/4231711839/	0	2025-06-13 00:45:51.860	Specialist	Zurich	Switzerland	Europe	102436504
9823	Network Security Specialist	83zero	EMEA (Remote)	https://www.linkedin.com/jobs/view/4246056299/	0	2025-06-13 00:45:51.867	Specialist	Zurich	Switzerland	Europe	102436504
9824	Social Insight Specialist (Thai speaking) - Contract with verification	Salt	EMEA (Remote)	https://www.linkedin.com/jobs/view/4224496614/	0	2025-06-13 00:45:51.873	Specialist	Zurich	Switzerland	Europe	102436504
9832	Operations and Finance Administrator	Pavago	Latin America (Remote)	https://www.linkedin.com/jobs/view/4248527747/	0	2025-06-13 00:46:17.160	Administrator	Caracas	Venezuela	South America	104362718
9839	Azure Databricks Administrator	Greymatter Innovationz	Latin America (Remote)	https://www.linkedin.com/jobs/view/4245386508/	0	2025-06-13 00:46:17.207	Administrator	Caracas	Venezuela	South America	104362718
9884	Finance Analyst	doola	Latin America (Remote)	https://www.linkedin.com/jobs/view/4225786624/	0	2025-06-13 00:47:07.963	Analyst	Caracas	Venezuela	South America	104362718
9885	Talent Acquisition Sourcing Analyst (Temporary Position) with verification	Applaudo	Venezuela (Remote)	https://www.linkedin.com/jobs/view/4248337428/	0	2025-06-13 00:47:07.970	Analyst	Caracas	Venezuela	South America	104362718
9910	Coders - AI Training [Remote]	Braintrust	Venezuela (Remote)	https://www.linkedin.com/jobs/view/4201842091/	0	2025-06-13 00:48:03.363	Artificial Intelligence	Caracas	Venezuela	South America	104362718
9916	Analista de datos - Agencia de Marketing	Agencia de Marketing Digital - Barcelona	Venezuela (Remote)	https://www.linkedin.com/jobs/view/4225622069/	0	2025-06-13 00:48:03.403	Artificial Intelligence	Caracas	Venezuela	South America	104362718
9918	Dotnet Developer	Torc	Latin America (Remote)	https://www.linkedin.com/jobs/view/4236820851/	0	2025-06-13 00:48:03.417	Artificial Intelligence	Caracas	Venezuela	South America	104362718
9932	SAP TAX Consultant - Panama	Donyati	Latin America (Remote)	https://www.linkedin.com/jobs/view/4247333251/	0	2025-06-13 00:48:28.630	Consultant	Caracas	Venezuela	South America	104362718
9951	Java Developer (Madrid)	Recodme	Latin America (Remote)	https://www.linkedin.com/jobs/view/4239530829/	0	2025-06-13 00:49:19.207	Developer	Caracas	Venezuela	South America	104362718
9952	Junior Java Developer - Remote	INDI Staffing Services	Latin America (Remote)	https://www.linkedin.com/jobs/view/4248241504/	0	2025-06-13 00:49:19.213	Developer	Caracas	Venezuela	South America	104362718
9954	Full Stack Developer	Project Growth	Latin America (Remote)	https://www.linkedin.com/jobs/view/4247354052/	0	2025-06-13 00:49:19.230	Developer	Caracas	Venezuela	South America	104362718
9955	Junior Java Developer - Remote Work with verification	BairesDev	Latin America (Remote)	https://www.linkedin.com/jobs/view/4247159325/	0	2025-06-13 00:49:19.237	Developer	Caracas	Venezuela	South America	104362718
9956	Wordpress Software Developer	GlobalTeam	Latin America (Remote)	https://www.linkedin.com/jobs/view/4227359883/	0	2025-06-13 00:49:19.243	Developer	Caracas	Venezuela	South America	104362718
